CD_SETOR;POPULACAO_INFANTIL;POPULACAO_IDOSA;UBS_INADEQUADAS
211130005000006;19.0;130.0;2876175.0
211130005000017;34.0;164.0;2876175.0
211130005000028;40.0;170.0;2876175.0
211130005000030;39.0;127.0;2876175.0
211130005000032;43.0;141.0;2876175.0
211130005000033;29.0;132.0;2876175.0
211130005000036;32.0;153.0;2876175.0
211130005000037;19.0;141.0;2876175.0
211130005000038;41.0;165.0;2876175.0
211130005000067;24.0;182.0;724203.0
211130005000079;27.0;166.0;2455838.0
211130005000080;24.0;156.0;2455838.0
211130005000081;38.0;162.0;2455838.0
211130005000082;40.0;195.0;2455838.0
211130005000085;39.0;112.0;2876175.0
211130005000090;46.0;100.0;2876175.0
211130005000093;26.0;212.0;2455838.0
211130005000094;37.0;138.0;2455838.0
211130005000096;47.0;156.0;2455838.0
211130005000098;58.0;150.0;2455838.0
211130005000100;42.0;123.0;2455838.0
211130005000101;51.0;153.0;2455838.0
211130005000102;50.0;143.0;2455838.0
211130005000104;33.0;172.0;724203.0
211130005000108;62.0;187.0;724203.0
211130005000109;41.0;126.0;724203.0
211130005000110;41.0;170.0;724203.0
211130005000113;56.0;117.0;2455838.0
211130005000114;22.0;148.0;2455838.0
211130005000116;37.0;154.0;2455838.0
211130005000119;54.0;103.0;2455838.0
211130005000120;30.0;124.0;2455838.0
211130005000121;16.0;126.0;2455838.0
211130005000122;19.0;112.0;2455838.0
211130005000123;28.0;118.0;724203.0
211130005000124;62.0;128.0;724203.0
211130005000125;33.0;118.0;724203.0
211130005000126;35.0;146.0;724203.0
211130005000127;52.0;174.0;2455838.0
211130005000128;28.0;153.0;2455838.0
211130005000129;36.0;149.0;666394.0
211130005000200;44.0;141.0;666394.0
211130005000201;53.0;168.0;666394.0
211130005000203;49.0;61.0;666394.0
211130005000205;49.0;78.0;666394.0
211130005000207;56.0;119.0;2455765.0
211130005000210;48.0;111.0;2455765.0
211130005000211;77.0;134.0;2455765.0
211130005000212;27.0;122.0;2455765.0
211130005000213;24.0;155.0;2455765.0
211130005000217;49.0;143.0;2455765.0
211130005000218;37.0;116.0;2455765.0
211130005000220;38.0;113.0;666394.0
211130005000221;55.0;120.0;666394.0
211130005000223;47.0;161.0;666394.0
211130005000224;41.0;159.0;666394.0
211130005000225;48.0;175.0;2308797.0
211130005000226;39.0;116.0;666394.0
211130005000228;44.0;149.0;2308797.0
211130005000229;40.0;126.0;2308797.0
211130005000230;49.0;133.0;2308797.0
211130005000231;40.0;139.0;2308797.0
211130005000232;39.0;142.0;2308797.0
211130005000234;48.0;152.0;2455765.0
211130005000235;39.0;164.0;2455765.0
211130005000249;60.0;131.0;2308797.0
211130005000250;64.0;185.0;2308797.0
211130005000251;40.0;192.0;2308797.0
211130005000252;32.0;189.0;2308797.0
211130005000253;48.0;201.0;2308797.0
211130005000254;31.0;121.0;2308797.0
211130005000255;20.0;112.0;2308797.0
211130005000258;46.0;131.0;2308797.0
211130005000307;30.0;148.0;978841.0
211130005000374;37.0;122.0;3226387.0
211130005000376;59.0;83.0;2455765.0
211130005000380;47.0;120.0;2455765.0
211130005000412;46.0;78.0;2455838.0
211130005000414;47.0;73.0;2456869.0
211130005000415;53.0;132.0;2456869.0
211130005000417;70.0;138.0;2456869.0
211130005000458;77.0;157.0;2309297.0
211130005000462;33.0;121.0;2456869.0
211130005000463;67.0;131.0;2456869.0
211130005000464;71.0;88.0;2456869.0
211130005000465;54.0;118.0;2456869.0
211130005000466;35.0;124.0;2456869.0
211130005000468;77.0;85.0;2309297.0
211130005000471;51.0;129.0;2309297.0
211130005000472;86.0;83.0;2309297.0
211130005000473;63.0;70.0;2309297.0
211130005000474;48.0;60.0;2309297.0
211130005000475;52.0;113.0;2309297.0
211130005000476;46.0;85.0;2309297.0
211130005000477;108.0;113.0;2309297.0
211130005000478;53.0;44.0;2309297.0
211130005000480;81.0;89.0;2309297.0
211130005000489;80.0;74.0;2456869.0
211130005000490;63.0;125.0;2456869.0
211130005000491;31.0;149.0;978841.0
211130005000492;12.0;132.0;978841.0
211130005000499;46.0;55.0;978841.0
211130005000500;49.0;71.0;978841.0
211130005000503;62.0;119.0;978841.0
211130005000504;62.0;113.0;978841.0
211130005000510;65.0;45.0;978841.0
211130005000511;73.0;65.0;978841.0
211130005000530;53.0;165.0;2697971.0
211130005000531;36.0;121.0;2697971.0
211130005000670;66.0;50.0;7798342.0
211130005000773;67.0;132.0;7071116.0
211130005000781;47.0;57.0;2309297.0
211130005000838;46.0;146.0;978841.0
211130005000853;62.0;54.0;2309297.0
211130005000873;70.0;49.0;978841.0
211130005000918;68.0;36.0;978841.0
211130005000919;50.0;102.0;7071116.0
211130005000936;47.0;62.0;2309297.0
211130005000968;63.0;58.0;2645866.0
211130005000978;68.0;57.0;7261136.0
211130005001008;63.0;63.0;2309297.0
211130005001009;61.0;77.0;978841.0
211130005001013;56.0;47.0;7071116.0
211130005001046;60.0;49.0;666394.0
211130005001047;56.0;87.0;666394.0
211130005001061;46.0;54.0;2876175.0
211130005001096;38.0;120.0;2308797.0
211130005001116;46.0;28.0;7798342.0
211130005001202;51.0;101.0;2455838.0
211130005001209;67.0;59.0;978841.0
211130005001210;52.0;87.0;2309297.0
211130005001215;54.0;58.0;978841.0
211130005001249;59.0;16.0;7798342.0
211130005001250;71.0;26.0;7798342.0
211130005001251;80.0;16.0;7798342.0
211130005001252;71.0;15.0;7798342.0
211130005001294;83.0;134.0;2645866.0
211130005001298;176.0;149.0;2456869.0
211130005001349;56.0;43.0;7798342.0
211130005001373;70.0;57.0;2309297.0
211130005001374;74.0;57.0;2309297.0
211130005001384;71.0;78.0;7071116.0
211130005001385;66.0;24.0;7071116.0
211130005001400;58.0;64.0;2456869.0
211130005001407;56.0;26.0;7071116.0
211130005001411;49.0;17.0;7071116.0
211130005001412;61.0;20.0;7071116.0
211130005001425;56.0;34.0;7798342.0
211130005001426;47.0;11.0;7798342.0
211130005001427;64.0;28.0;7798342.0
211130005001429;57.0;25.0;7798342.0
211130005001436;58.0;24.0;7798342.0
211130005001437;58.0;40.0;7798342.0
211130005001438;46.0;26.0;7798342.0
211130005001465;86.0;58.0;7071116.0
211130005001486;51.0;57.0;2309297.0
211130005001494;80.0;67.0;978841.0
211130005001512;32.0;115.0;2876175.0
211130005001515;26.0;121.0;2455838.0
211130005001519;81.0;75.0;7071116.0
211130005001530;58.0;21.0;978841.0
211130005001561;52.0;46.0;7071116.0
211130005001562;63.0;43.0;7071116.0
211130005001575;47.0;42.0;978841.0
211130005001578;60.0;60.0;978841.0
211130005001611;61.0;28.0;7261136.0
211130005001621;48.0;86.0;2455765.0
211130005001623;58.0;68.0;2455765.0
211130005001625;47.0;89.0;2455765.0
211130005001633;30.0;117.0;2308797.0
211130005001669;80.0;69.0;2645866.0
211130005001672;84.0;40.0;2645866.0
211130005001677;50.0;72.0;2309297.0
211130005001679;56.0;50.0;978841.0
211130005001703;57.0;60.0;7798342.0
211130005001705;47.0;53.0;7261136.0
211130005001706;57.0;27.0;7798342.0
211130005001713;80.0;16.0;978841.0
211130005001720;27.0;109.0;978841.0
211130005001736;50.0;40.0;3226387.0
211130005001737;53.0;22.0;3226387.0
211130005001740;51.0;52.0;3226387.0
211130005001741;46.0;75.0;2309297.0
211130005001742;50.0;44.0;2456869.0
211130005001746;34.0;132.0;2456869.0
211130005001754;72.0;62.0;978841.0
211130005001759;61.0;59.0;3226387.0
211130005001760;47.0;74.0;3226387.0
211130005001794;43.0;114.0;2455838.0
211130005001847;70.0;61.0;2309297.0
211130005001855;51.0;75.0;3226387.0
211130005001859;55.0;97.0;2309297.0
211130005001878;58.0;24.0;2697971.0
211130005001896;63.0;78.0;2455765.0
211130005001897;62.0;100.0;2455765.0
211130005001914;82.0;78.0;7261136.0
211130005001918;46.0;68.0;7261136.0
211130005001925;60.0;60.0;2455765.0
211130005001927;52.0;52.0;7071116.0
211130005001930;69.0;63.0;7071116.0
211130005001931;46.0;95.0;7071116.0
211130005001933;51.0;40.0;7071116.0
211130005001960;34.0;117.0;724203.0
211130005001996;55.0;114.0;2697971.0
211130005002009;49.0;35.0;978841.0
211130005002017;69.0;51.0;978841.0
211130005002018;53.0;26.0;978841.0
211130005002019;57.0;95.0;978841.0
